origin_icao,total_payload
KLNK,11138.6942
KSLN,11138.6942
CYCD,9326.4071
KORL,3163.84
KAPA,3163.84
KAPF,1977.4
KPNE,1581.92
MHTG,1581.92
KDRT,1581.92
YSTW,1581.92
KHIO,1581.92
KFLO,1581.92
KFTY,1581.92
KPKB,1581.92
KTTA,1581.92
KPIE,1581.92
KADW,1581.92
KDVN,1581.92
